Source identifier,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Reuse terms reported by source,Location of rights information,Use permitted by source terms,Disease or diseases,Germplasm described,Phenotype data described,Relationship to measurements in other reports,Evidence reviewed,Role in this study
ref_erpelding_segou_mali_anthracnose_2012,Anthracnose resistance in sorghum germplasm from the Segou region of Mali,Erpelding JE. Journal of Crop Improvement. 2012;26:397-414.,10.1080/15427528.2011.650295,https://doi.org/10.1080/15427528.2011.650295,https://www.ingentaconnect.com/content/tandf/wcim20/2012/00000026/00000003/art00007/supp-data,supplementary accession table,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1080/15427528.2011.650295,Source permission required for accession-level sharing,Anthracnose,59 Segou-region Mali accessions,"The publisher listed an accession-level table, but the file request returned access denial on 14 July 2026",Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
ref_erpelding_sikasso_mali_anthracnose_2008,Field Evaluation of Anthracnose Resistance for Sorghum Germplasm from the Sikasso Region of Mali,Erpelding JE. Field evaluation of anthracnose resistance for sorghum germplasm from the Sikasso region of Mali. The Open Agriculture Journal. 2008;2:113-120.,10.2174/1874331500802010113,https://doi.org/10.2174/1874331500802010113,https://doi.org/10.2174/1874331500802010113,erpelding_2008_sikasso_anthracnose_10.2174_1874331500802010113.pdf,2026-07-14,Creative Commons Attribution-NonCommercial 3.0,https://doi.org/10.2174/1874331500802010113,Derived results may be shared for noncommercial use,Anthracnose,Accession: 132; Non inoculated control: 1; Resistant control: 6; Susceptible control: 7,The complete public table contains 584 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_gaffoor_pennsylvania_anthracnose_2021,Performance of novel sorghum germplasm in Pennsylvania and their response to anthracnose,"Gaffoor I, Sandoya GV, Xavier KV, Nuckles EM, Pinnamaneni SR, Vaillancourt LJ, Chopra S. Performance of novel sorghum germplasm in Pennsylvania and their response to anthracnose. Crop Science. 2021;61:2612-2627.",10.1002/csc2.20486,https://oar.icrisat.org/13037/,https://oar.icrisat.org/13037/,gaffoor_2021_pennsylvania_anthracnose_10.1002_csc2.20486.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://oar.icrisat.org/13037/,Source permission required for accession-level sharing,Anthracnose,Line selected for favorable disease response: 33; Resistant control: 1; Susceptible control: 1,The complete public table contains 490 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_girma_ethiopian_head_smut_2019,A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits,A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits (2019),10.3389/fpls.2019.00691; 10.4231/PYQV-AT79,https://purr.purdue.edu/publications/3189/1,https://purr.purdue.edu/publications/3189/serve/1?render=archive,10_4231_PYQV-AT79.zip::10_4231_PYQV-AT79/bundle.zip::www/purr/app/site/publications/03189/02256/bp2bthe5jh/Girma et al_PhenotypeData.xlsx,2026-07-14,Creative Commons Attribution 3.0,https://purr.purdue.edu/publications/3189/1,Derived results may be shared under the stated terms,Head smut,1425 Ethiopian landrace accessions,Public PURR phenotype workbook recovered with accession-level 2015 and 2016 Arsi Negelle head-smut scores,Distinct measurements,Descriptive results,Quantitative disease-response evidence
ref_hess_mali_anthracnose_2002,"Pattern Analysis of Sorghum Genotype × Environment Interaction for Leaf, Panicle, and Grain Anthracnose in Mali","Hess DE, Bandyopadhyay R, Sissoko I. Pattern analysis of sorghum genotype × environment interaction for leaf, panicle, and grain anthracnose in Mali. Plant Disease. 2002;86(12):1374-1382.",10.1094/PDIS.2002.86.12.1374,https://oar.icrisat.org/5090/,https://oar.icrisat.org/5090/,onegen_0231_pattern_analysis_anthracnose_mali_icrisat.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://oar.icrisat.org/5090/,Source permission required for accession-level sharing,Anthracnose,Line: 19; Resistant check: 1; Susceptible check: 1,The complete public table contains 168 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_khanal_illinois_anthracnose_2022,Genetic mapping of sorghum resistance to an Illinois isolate of Colletotrichum sublineola,Khanal R et al. The Plant Genome. 2022.,10.1002/tpg2.20243,https://doi.org/10.1002/tpg2.20243,https://acsess.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Ftpg2.20243&file=tpg220243-sup-0002-SupplementalFileS1.xlsx,,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1002/tpg2.20243,Source permission required for accession-level sharing,Anthracnose,579 temperate-adapted sorghum conversion lines,"Public Supplemental File S1 is described as 2019, 2020, and combined BLUPs",Distinct measurements,Citation and biological context,Citation and biological context
ref_koima_kenya_anthracnose_2023,Identification and Characterization of Colletotrichum Species Causing Sorghum Anthracnose in Kenya and Screening of Sorghum Germplasm for Resistance to Anthracnose,Identification and Characterization of Colletotrichum Species Causing Sorghum Anthracnose in Kenya and Screening of Sorghum Germplasm for Resistance to Anthracnose (2023),10.3390/jof9010100,https://www.mdpi.com/2309-608X/9/1/100,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9864066/fullTextXML,PMC9864066.xml,2026-07-14,Creative Commons Attribution 4.0,https://www.mdpi.com/2309-608X/9/1/100,Derived results may be shared under the stated terms,Anthracnose,14 genotypes,Complete public greenhouse and field main tables,Distinct measurements,Descriptive results,Quantitative disease-response evidence
ref_komolong_ergot_ovary_2003,Ovary colonization by Claviceps africana is related to ergot resistance in male-sterile sorghum lines,"Komolong B, Chakraborty S, Ryley M, Yates D. Ovary colonization by Claviceps africana is related to ergot resistance in male-sterile sorghum lines. Plant Pathology. 2003;52:620-627.",10.1046/j.1365-3059.2003.00886.x,https://era.dpi.qld.gov.au/id/eprint/10542/,https://era.dpi.qld.gov.au/id/eprint/10542/,onegen_0225_ovary_colonization_ergot_qld_repository.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://era.dpi.qld.gov.au/id/eprint/10542/,Source permission required for accession-level sharing,Ergot,Male sterile line previously ergot resistant: 3; Male sterile line previously most susceptible: 1,The complete public table contains 36 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_kumar_icrisat_grain_mold_hybrids_2008,Improved sorghum hybrids with grain mold resistance,"Ashok Kumar A, Reddy BVS, Thakur RP, Ramaiah B. Journal of SAT Agricultural Research. 2008;6.",URL:https://oar.icrisat.org/2695/,https://oar.icrisat.org/2695/,https://oar.icrisat.org/2695/,ref_kumar_icrisat_grain_mold_hybrids_2008.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://oar.icrisat.org/2695/,Source permission required for accession-level sharing,Grain mold,B line parent: 5; Grain mold resistant landrace control: 1; Grain mold susceptible cultivar control: 1; High yielding b line control: 1; Popular hybrid control: 1; R line parent: 7; Test hybrid: 9,The complete public table contains 25 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_mcmahan_conversion_panel_leaf_blight_2020,Conserved defense responses between maize and sorghum to Exserohilum turcicum,"Supplementary data file for Zhang et al. 2020, BMC Plant Biology 20:67. doi:10.1186/s12870-020-2275-z.",10.1186/s12870-020-2275-z,https://doi.org/10.1186/s12870-020-2275-z,https://doi.org/10.1186/s12870-020-2275-z,ref_mcmahan_conversion_panel_leaf_blight_2020_phenotypes.csv,2026-07-14,Creative Commons Zero 1.0,https://doi.org/10.1186/s12870-020-2275-z,Derived results may be shared under the stated terms,Leaf blight,Resistant check: 1; Susceptible check with conflicting source identifiers: 1; Sorghum conversion panel line: 694,The complete public table contains 2784 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_mekonen_ethiopia_anthracnose_pathotypes_2024,Pathotype determination of sorghum anthracnose (Colletotrichum sublineola) isolates from Ethiopia using sorghum differentials,Pathotype determination of sorghum anthracnose (Colletotrichum sublineola) isolates from Ethiopia using sorghum differentials (2024),10.3389/fmicb.2024.1458450,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1458450/full,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1458450/xml/nlm,fmicb.2024.1458450.xml,2026-07-14,Creative Commons Attribution 4.0,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1458450/full,Derived results may be shared under the stated terms,Anthracnose pathotype,25 genotypes by 25 isolates,Complete public genotype-by-isolate binary matrix and severity summaries,Distinct measurements,Descriptive results,Quantitative disease-response evidence
ref_mengistu_ethiopia_anthracnose_2021,Genome-wide association analysis of anthracnose resistance in sorghum,Genome-wide association analysis of anthracnose resistance in sorghum (2021),10.1371/journal.pone.0261461,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261461,https://journals.plos.org/plosone/article/file?type=supplementary&id=info:doi/10.1371/journal.pone.0261461.s001,pone.0261461.s001.csv,2026-07-14,Creative Commons Attribution 4.0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261461,Derived results may be shared under the stated terms,Anthracnose,366 genotypes,Complete public genotype-level final severity and relative AUDPC table,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_moore_arkansas_anthracnose_pathotypes_2008,Pathotypes of Colletotrichum sublineolum in Arkansas,Pathotypes of Colletotrichum sublineolum in Arkansas (2008),10.1094/PDIS-92-10-1415,https://pubmed.ncbi.nlm.nih.gov/30769577/,,main article pathogenicity tables,,Reuse terms were not stated in the materials reviewed,https://pubmed.ncbi.nlm.nih.gov/30769577/,Source permission required for accession-level sharing,Anthracnose pathotype,98 isolates tested on eight differential sorghum lines; 87 isolates retained after excluding 11 with conflicting results,The article presents isolate-by-differential reactions; source permission governs reuse,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
ref_mpofu_grain_mold_fgs_2014,Ergosterol concentration and variability in genotype-by-pathogen interaction for grain mold resistance in sorghum,"Mpofu LT, McLaren NW. Planta. 2014;240:239-250.",10.1007/s00425-014-2081-7,https://doi.org/10.1007/s00425-014-2081-7,https://doi.org/10.1007/s00425-014-2081-7,ref_mpofu_grain_mold_fgs_2014.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1007/s00425-014-2081-7,Source permission required for accession-level sharing,Grain mold,Selected genotype for 2006 greenhouse experiment: 11,The complete public table contains 22 reported observations for accessions or lines; missing values are retained as reported.,Measurements unique to this source within the reviewed literature,Full quantitative data,Quantitative disease-response evidence
ref_nageshkumar_india_genetic_gain_grain_mold_2022,"India's rainfed sorghum improvement: Three decades of genetic gain assessment for yield, grain quality, grain mold and shoot fly resistance",Nagesh Kumar MV et al. Frontiers in Plant Science. 2022;13:1056040.,10.3389/fpls.2022.1056040,https://doi.org/10.3389/fpls.2022.1056040,https://doi.org/10.3389/fpls.2022.1056040,ref_nageshkumar_india_genetic_gain_grain_mold_2022.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.3389/fpls.2022.1056040,Derived results may be shared under the stated terms,Grain mold,Aet i entry: 10; Aet ii entry: 6; Released national variety: 3; Released state level variety: 1; Released state variety: 4,The complete public table contains 96 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_navi_elite_multiple_disease_2003,Evaluation of Elite Sorghum Accessions for Multiple Disease Resistance,"Navi SS, Bandyopadhyay R, Gopal Reddy V, Kameswara Rao N. 2003. International Sorghum and Millets Newsletter 44:115-118. ICRISAT-OAR:1455.",URL:https://oar.icrisat.org/1455/,https://oar.icrisat.org/1455/,https://oar.icrisat.org/1455/,ref_navi_elite_multiple_disease_2003.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://oar.icrisat.org/1455/,Source permission required for accession-level sharing,Multiple sorghum diseases,Elite landrace selected as disease free: 82,The complete public table contains 82 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_prom_anthracnose_screening_method_2009,A Pictorial Technique for Mass Screening of Sorghum Germplasm for Anthracnose Resistance,A Pictorial Technique for Mass Screening of Sorghum Germplasm for Anthracnose Resistance (2009),10.2174/1874331500903010020,https://www.openagriculturejournal.com/VOLUME/3/PAGE/20/FULLTEXT/,https://www.openagriculturejournal.com/contents/volumes/V3/TOASJ-3-20/TOASJ-3-20.pdf,TOASJ-3-20.pdf,2026-07-14,Creative Commons Attribution-NonCommercial 3.0,https://www.openagriculturejournal.com/VOLUME/3/PAGE/20/FULLTEXT/,Derived results may be shared for noncommercial use,Anthracnose,320 greenhouse lines implied by the reported category counts,Aggregate resistant and susceptible counts only,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
ref_radwan_downy_mildew_p6_2011,"Screening Exotic Sorghum Germplasm, Hybrids, and Elite Lines for Resistance to a New Virulent Pathotype P6 of Peronosclerospora sorghi","Screening Exotic Sorghum Germplasm, Hybrids, and Elite Lines for Resistance to a New Virulent Pathotype P6 of Peronosclerospora sorghi (2011)",10.1094/PHP-2011-0323-01-RS,https://apsjournals.apsnet.org/doi/10.1094/PHP-2011-0323-01-RS,,article,,Reuse terms were not stated in the materials reviewed,https://apsjournals.apsnet.org/doi/10.1094/PHP-2011-0323-01-RS,Source permission required for accession-level sharing,Downy mildew,333 total with aggregate subgroup counts,Aggregate counts and selected resistant names only,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
ref_sabbavarapu_foliar_qtl_2010,Identification of Quantitative Trait Loci Associated with Resistance to Foliar Diseases in Sorghum [Sorghum bicolor (L.) Moench],Identification of Quantitative Trait Loci Associated with Resistance to Foliar Diseases in Sorghum [Sorghum bicolor (L.) Moench] (2010),10.1007/s10681-010-0224-x,https://link.springer.com/article/10.1007/s10681-010-0224-x,,main article and any supplementary phenotype tables,,Reuse terms were not stated in the materials reviewed,https://link.springer.com/article/10.1007/s10681-010-0224-x,Source permission required for accession-level sharing,Anthracnose; rust; Zonate leaf spot; Drechslera leaf blight; Target leaf spot,"168 F7 recombinant inbred lines from 296B × IS18551 plus parents, evaluated in two environments",The reviewed materials provide QTL results and summarized disease responses,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
ref_sharma_minicore_foliar_diseases_2012,Resistance to Foliar Diseases in a Mini-Core Collection of Sorghum Germplasm,Resistance to Foliar Diseases in a Mini-Core Collection of Sorghum Germplasm (2012),10.1094/PDIS-10-11-0875-RE,https://apsjournals.apsnet.org/doi/10.1094/PDIS-10-11-0875-RE,https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-013-2081-1/MediaObjects/122_2013_2081_MOESM1_ESM.xlsx,122_2013_2081_MOESM1_ESM.xlsx,2026-07-14,Reuse terms were not stated in the materials reviewed,https://link.springer.com/article/10.1007/s00122-013-2081-1,Source permission required for accession-level sharing,Anthracnose; Leaf blight; rust,Paper reports 242 mini-core accessions; the supplementary workbook contains 243 unique IS labels; article Table 2 contains 38 accessions selected for resistance to at least one disease,Complete 2009 and 2010 anthracnose values are publicly available through the 2013 supplementary workbook; the 2012 article Table 2 reports 2009 and 2010 anthracnose and leaf-blight means plus greenhouse rust percentage for a resistance-selected 38-accession subset,Distinct measurements,Descriptive results,Quantitative disease-response evidence
ref_sharma_minicore_grain_mold_downy_mildew_2010,Resistance to Grain Mold and Downy Mildew in a Mini-Core Collection of Sorghum Germplasm,Resistance to Grain Mold and Downy Mildew in a Mini-Core Collection of Sorghum Germplasm (2010),10.1094/PDIS-94-4-0439,https://apsjournals.apsnet.org/doi/10.1094/PDIS-94-4-0439,https://oar.icrisat.org/2263/1/PlantDiseses94_4_439-444_2010.pdf,PlantDiseses94_4_439-444_2010.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://apsjournals.apsnet.org/doi/10.1094/PDIS-94-4-0439,Source permission required for accession-level sharing,Grain mold; Downy mildew,140 grain-mold and 242 downy-mildew accessions,The paper provides resistant accession subsets,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
ref_taye_ethiopia_grain_mold_2022,Evaluation of sorghum genotypes for resistance to grain molds and associated mycotoxins in Ethiopia,Taye W et al. 2022. DOI 10.1163/22238980-bja10050.,10.1163/22238980-bja10050,https://doi.org/10.1163/22238980-bja10050,,author-posted article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1163/22238980-bja10050,Source permission required for accession-level sharing,Grain mold; mycotoxin,20 named genotypes reported across two locations and two years,An author-posted copy contains genotype-level mold and mycotoxin values,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
ref_tesema_ethiopia_leaf_blight_2022,Response of sorghum genotypes for turcicum leaf blight and agronomic performances in southern Ethiopia,"Tesema ML, Mengesha GG, Dojamo TS, Takiso SM. Response of sorghum genotypes for turcicum leaf blight [Exserohilum turcicum (Pass.) Leonard and Suggs] and agronomic performances in southern Ethiopia. International Journal of Science and Research Archive. 2022;5(2):77-95.",10.30574/ijsra.2022.5.2.0062,https://doi.org/10.30574/ijsra.2022.5.2.0062,https://doi.org/10.30574/ijsra.2022.5.2.0062,tesema_2022_turcicum_leaf_blight_10.30574_ijsra.2022.5.2.0062.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.30574/ijsra.2022.5.2.0062,Derived results may be shared under the stated terms,Leaf blight,Screened genotype: 14; Susceptible check: 1,The complete public table contains 252 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_tesso_fusarium_stalk_rot_2009,An improved method for screening Fusarium stalk rot resistance in grain sorghum (Sorghum bicolor (L.) Moench.),"Tesso T, Ochanda N, Claflin L, Tuinstra M. 2009. African Journal of Plant Science 3(11):254-262. doi:10.5897/AJPS.9000014.",10.5897/AJPS.9000014,https://doi.org/10.5897/AJPS.9000014,https://doi.org/10.5897/AJPS.9000014,ref_tesso_fusarium_stalk_rot_2009.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://doi.org/10.5897/AJPS.9000014,Source permission required for accession-level sharing,Fusarium stalk rot,Caudatum: 9; Cultivar: 9; Dura: 5; Dura bicolor: 1; Guinea: 1; Guinea bicolor: 2; Guinea kafir: 1; Inbred line: 20; Kafir: 1; Kafir caudatum: 1; Protocol development hybrid: 10; Resistant hybrid: 1; Additional sorghum lines: 9; Susceptible hybrid: 1,The complete public table contains 358 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_thakur_indian_anthracnose_populations_1998,"Pathogenic and Genetic Characterization of Six Indian Populations of Colletotrichum sublineolum, the Causal Agent of Sorghum Anthracnose","Pathogenic and Genetic Characterization of Six Indian Populations of Colletotrichum sublineolum, the Causal Agent of Sorghum Anthracnose (1998)",ICRISAT-OAR:1722,https://oar.icrisat.org/1722/,https://oar.icrisat.org/1722/1/Indian_Phyto51%284%29338-348_1998.pdf,Indian_Phyto51(4)338-348_1998.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://oar.icrisat.org/1722/,Source permission required for accession-level sharing,Anthracnose pathotype,"15 differential lines across six field locations; 16 lines, including resistant check A 2267-2, challenged with six isolates in the greenhouse","Public official-repository PDF contains complete field reaction/severity values in Table 3, greenhouse reaction/severity in Table 4, greenhouse latent period in Table 5, derived virulence index in Table 6, and six-line putative pathotype calls in Table 7",Distinct measurements,Descriptive results,Quantitative disease-response evidence
ref_tomar_kansas_grain_mold_controls_2016,In vitro and field based evaluation for grain mold resistance and its impact on quality traits in sorghum [Sorghum bicolor (L.) Moench],Tomar SS. Kansas State University thesis. 2016.,URL:https://hdl.handle.net/2097/32638,https://hdl.handle.net/2097/32638,http://hdl.handle.net/2097/32638,ref_tomar_kansas_grain_mold_controls_2016.pdf,2026-07-14,Reuse terms were not stated in the materials reviewed,https://hdl.handle.net/2097/32638,Source permission required for accession-level sharing,Grain mold,Moderately resistant or susceptible check: 3; Resistant check: 2; Susceptible check: 3,The complete public table contains 96 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
ref_upadhyaya_minicore_anthracnose_2013,Identification of Genetic Markers Linked to Anthracnose Resistance in Sorghum Using Association Analysis,Identification of Genetic Markers Linked to Anthracnose Resistance in Sorghum Using Association Analysis (2013),10.1007/s00122-013-2081-1,https://link.springer.com/article/10.1007/s00122-013-2081-1,https://static-content.springer.com/esm/art%3A10.1007%2Fs00122-013-2081-1/MediaObjects/122_2013_2081_MOESM1_ESM.xlsx,122_2013_2081_MOESM1_ESM.xlsx,2026-07-14,Reuse terms were not stated in the materials reviewed,https://link.springer.com/article/10.1007/s00122-013-2081-1,Source permission required for accession-level sharing,Anthracnose,Article reports 242 mini-core accessions; Supplementary Table S1 contains 243 unique IS labels,Public Supplementary Table S1 contains complete numeric 2009 and 2010 anthracnose values; quantitative use is limited to anthracnose,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
senegal_head_smut_pathotype5,Genome-Wide Association Analysis Uncovers Genes Associated with Resistance to Head Smut Pathotype 5 in Senegalese Sorghum Accessions,Genome-Wide Association Analysis Uncovers Genes Associated with Resistance to Head Smut Pathotype 5 in Senegalese Sorghum Accessions (2024),10.3390/plants13070977,https://www.mdpi.com/2223-7747/13/7/977,https://mdpi-res.com/d_attachment/plants/plants-13-00977/article_deploy/plants-13-00977-s001.zip,plants-13-00977-s001.zip::Supplementary Data S1.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://www.mdpi.com/2223-7747/13/7/977,Derived results may be shared under the stated terms,Head smut P5,153 Senegal accessions in the phenotype workbook plus additional lines,Public experiment-level workbook available,Distinct measurements,Descriptive results,Quantitative disease-response evidence
senegal_seedling_anthracnose,A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Anthracnose,A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Anthracnose (2022),10.1038/s41598-022-16844-6,https://www.nature.com/articles/s41598-022-16844-6,https://static-content.springer.com/esm/art%3A10.1038%2Fs41598-022-16844-6/MediaObjects/41598_2022_16844_MOESM1_ESM.xlsx,41598_2022_16844_MOESM1_ESM.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://www.nature.com/articles/s41598-022-16844-6,Derived results may be shared under the stated terms,Anthracnose,163 Senegalese accessions plus reported checks,Public accession-level repeated leaf-score workbook available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
sweet_sorghum_multilocation_anthracnose,"Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel","Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel (2023)",10.3389/fpls.2023.1249555,https://frontiersin.figshare.com/articles/dataset/Table_1_Genetic_diversity_population_structure_and_anthracnose_resistance_response_in_a_novel_sweet_sorghum_diversity_panel_xlsx/24407401,https://ndownloader.figshare.com/files/42807598,"Table_1_Genetic diversity, population structure and anthracnose resistance response in a novel sweet sorghum diversity panel.xlsx",2026-07-14,Creative Commons Attribution 4.0,https://frontiersin.figshare.com/articles/dataset/Table_1_Genetic_diversity_population_structure_and_anthracnose_resistance_response_in_a_novel_sweet_sorghum_diversity_panel_xlsx/24407401,Derived results may be shared under the stated terms,Anthracnose,272 PI accessions,Public accession-by-location/year workbook available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
